kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_balita_stunting,persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_tenaga_gizi
3201,KABUPATEN BOGOR,2019,18752,666,373799,56.0,71
3202,KABUPATEN SUKABUMI,2019,15583,622,309676,69.0,30
3203,KABUPATEN CIANJUR,2019,12761,915,350760,62.0,38
3204,KABUPATEN BANDUNG,2019,19121,594,345177,80.0,88
3205,KABUPATEN GARUT,2019,9723,898,301202,0.0,52
3206,KABUPATEN TASIKMALAYA,2019,17254,912,311848,81.0,56
3207,KABUPATEN CIAMIS,2019,4254,665,363750,76.0,38
3208,KABUPATEN KUNINGAN,2019,5553,1141,340775,83.0,34
3209,KABUPATEN CIREBON,2019,14127,994,381372,69.0,56
3210,KABUPATEN MAJALENGKA,2019,4642,1006,445184,77.0,25
3211,KABUPATEN SUMEDANG,2019,6780,905,342073,95.0,32
3212,KABUPATEN INDRAMAYU,2019,19458,1111,458240,80.0,37
3213,KABUPATEN SUBANG,2019,2476,812,339607,90.0,53
3214,KABUPATEN PURWAKARTA,2019,3451,748,367273,78.0,27
3215,KABUPATEN KARAWANG,2019,4940,739,440347,78.0,30
3216,KABUPATEN BEKASI,2019,7436,401,481732,88.0,25
3217,KABUPATEN BANDUNG BARAT,2019,9322,938,341307,74.0,34
3218,KABUPATEN PANGANDARAN,2019,7863,771,367748,77.0,14
3271,KOTA BOGOR,2019,3757,577,513343,74.0,48
3272,KOTA SUKABUMI,2019,2069,667,520742,152.0,20
3273,KOTA BANDUNG,2019,8121,338,474448,64.0,92
3274,KOTA CIREBON,2019,2411,841,444574,94.0,24
3275,KOTA BEKASI,2019,11737,381,617718,99.0,41
3276,KOTA DEPOK,2019,5241,207,644860,173.0,38
3277,KOTA CIMAHI,2019,3269,439,484804,80.0,19
3278,KOTA TASIKMALAYA,2019,5373,116,457899,52.0,31
3279,KOTA BANJAR,2019,962,55,334590,47.0,14
3201,KABUPATEN BOGOR,2020,34020,769,402877,624.0,63
3202,KABUPATEN SUKABUMI,2020,14106,709,328284,829.0,30
3203,KABUPATEN CIANJUR,2020,11680,1036,371699,832.0,50
3204,KABUPATEN BANDUNG,2020,29581,691,367403,755.0,88
3205,KABUPATEN GARUT,2020,13523,998,310437,311.0,46
3206,KABUPATEN TASIKMALAYA,2020,18952,1034,323880,914.0,57
3207,KABUPATEN CIAMIS,2020,7688,762,378108,913.0,35
3208,KABUPATEN KUNINGAN,2020,5298,1282,352358,839.0,43
3209,KABUPATEN CIREBON,2020,21733,1124,393452,615.0,66
3210,KABUPATEN MAJALENGKA,2020,4381,1143,453201,788.0,22
3211,KABUPATEN SUMEDANG,2020,8870,1026,353092,952.0,37
3212,KABUPATEN INDRAMAYU,2020,11166,127,474807,988.0,53
3213,KABUPATEN SUBANG,2020,4283,931,351885,932.0,50
3214,KABUPATEN PURWAKARTA,2020,8051,827,378287,853.0,26
3215,KABUPATEN KARAWANG,2020,3982,826,466152,468.0,22
3216,KABUPATEN BEKASI,2020,9373,482,518667,88.0,25
3217,KABUPATEN BANDUNG BARAT,2020,15440,1049,362212,964.0,35
3218,KABUPATEN PANGANDARAN,2020,1312,899,382264,846.0,11
3271,KOTA BOGOR,2020,5948,668,547399,765.0,46
3272,KOTA SUKABUMI,2020,1616,77,547415,561.0,21
3273,KOTA BANDUNG,2020,9508,399,500452,68.0,69
3274,KOTA CIREBON,2020,2360,952,457954,949.0,23
3275,KOTA BEKASI,2020,13964,438,657953,811.0,32
3276,KOTA DEPOK,2020,6425,245,688194,92.0,37
3277,KOTA CIMAHI,2020,3708,511,511375,849.0,16
3278,KOTA TASIKMALAYA,2020,7746,1297,470150,588.0,41
3279,KOTA BANJAR,2020,1355,609,344363,852.0,10
3201,KABUPATEN BOGOR,2021,30844,813,418483,7445.0,94
3202,KABUPATEN SUKABUMI,2021,14347,77,342094,9972.0,31
3203,KABUPATEN CIANJUR,2021,7768,1118,387631,9289.0,50
3204,KABUPATEN BANDUNG,2021,20461,715,378819,903.0,82
3205,KABUPATEN GARUT,2021,10027,1065,320050,9665.0,46
3206,KABUPATEN TASIKMALAYA,2021,15183,1115,333909,7926.0,0
3207,KABUPATEN CIAMIS,2021,3303,797,389676,8551.0,67
3208,KABUPATEN KUNINGAN,2021,3665,131,358069,9011.0,43
3209,KABUPATEN CIREBON,2021,15220,123,404635,9132.0,66
3210,KABUPATEN MAJALENGKA,2021,2934,1233,466813,8884.0,20
3211,KABUPATEN SUMEDANG,2021,8117,1071,360054,9584.0,41
3212,KABUPATEN INDRAMAYU,2021,5208,1304,481754,8206.0,50
3213,KABUPATEN SUBANG,2021,2088,1003,360691,100.0,69
3214,KABUPATEN PURWAKARTA,2021,3709,883,387754,9445.0,26
3215,KABUPATEN KARAWANG,2021,3715,895,494201,439.0,24
3216,KABUPATEN BEKASI,2021,8755,521,549875,9133.0,35
3217,KABUPATEN BANDUNG BARAT,2021,12488,113,374470,100.0,35
3218,KABUPATEN PANGANDARAN,2021,999,965,394101,8834.0,23
3271,KOTA BOGOR,2021,3950,724,571425,7633.0,43
3272,KOTA SUKABUMI,2021,1180,825,567734,832.0,24
3273,KOTA BANDUNG,2021,6312,437,515396,7849.0,83
3274,KOTA CIREBON,2021,2411,1003,467248,9749.0,23
3275,KOTA BEKASI,2021,9820,474,692885,993.0,42
3276,KOTA DEPOK,2021,3726,258,705084,9029.0,46
3277,KOTA CIMAHI,2021,3161,535,522281,8091.0,14
3278,KOTA TASIKMALAYA,2021,6194,1313,480341,5786.0,37
3279,KOTA BANJAR,2021,929,711,357210,9797.0,18
3201,KABUPATEN BOGOR,2022,18666,773,443787,686.0,107
3202,KABUPATEN SUKABUMI,2022,10231,734,357636,100.0,32
3203,KABUPATEN CIANJUR,2022,6871,1055,406829,9289.0,42
3204,KABUPATEN BANDUNG,2022,21018,68,398884,100.0,85
3205,KABUPATEN GARUT,2022,30266,1042,335134,9347.0,56
3206,KABUPATEN TASIKMALAYA,2022,14122,1073,347917,8974.0,62
3207,KABUPATEN CIAMIS,2022,1872,772,405294,8377.0,35
3208,KABUPATEN KUNINGAN,2022,4798,1276,371665,9533.0,45
3209,KABUPATEN CIREBON,2022,10635,1201,416914,9126.0,68
3210,KABUPATEN MAJALENGKA,2022,3063,1194,483319,9726.0,48
3211,KABUPATEN SUMEDANG,2022,6316,1014,371870,9847.0,46
3212,KABUPATEN INDRAMAYU,2022,3797,1277,499805,9184.0,45
3213,KABUPATEN SUBANG,2022,1188,975,372308,9749.0,48
3214,KABUPATEN PURWAKARTA,2022,1438,87,403663,8669.0,25
3215,KABUPATEN KARAWANG,2022,2768,844,521158,5529.0,71
3216,KABUPATEN BEKASI,2022,3899,501,579221,9259.0,48
3217,KABUPATEN BANDUNG BARAT,2022,9304,1082,393956,9109.0,34
3218,KABUPATEN PANGANDARAN,2022,519,932,411174,8273.0,33
3271,KOTA BOGOR,2022,1743,71,608949,6237.0,45
3272,KOTA SUKABUMI,2022,806,802,594118,9548.0,25
3273,KOTA BANDUNG,2022,6614,425,545675,100.0,84
3274,KOTA CIREBON,2022,2381,982,485613,8666.0,33
3275,KOTA BEKASI,2022,4575,443,731392,9303.0,28
3276,KOTA DEPOK,2022,3637,253,744771,9926.0,48
3277,KOTA CIMAHI,2022,3036,511,549450,8305.0,26
3278,KOTA TASIKMALAYA,2022,5633,1272,498711,6384.0,35
3279,KOTA BANJAR,2022,846,673,373510,9898.0,18
3201,KABUPATEN BOGOR,2023,6231,727,482174,6841.0,78
3202,KABUPATEN SUKABUMI,2023,14671,701,392705,100.0,31
3203,KABUPATEN CIANJUR,2023,4893,1022,437327,6871.0,31
3204,KABUPATEN BANDUNG,2023,13321,64,426069,9974.0,79
3205,KABUPATEN GARUT,2023,17805,977,367681,8894.0,60
3206,KABUPATEN TASIKMALAYA,2023,8584,1028,378958,6447.0,53
3207,KABUPATEN CIAMIS,2023,2020,742,442108,9294.0,38
3208,KABUPATEN KUNINGAN,2023,5237,1212,402767,9462.0,42
3209,KABUPATEN CIREBON,2023,13353,112,451853,9559.0,75
3210,KABUPATEN MAJALENGKA,2023,1924,1121,520713,9872.0,45
3211,KABUPATEN SUMEDANG,2023,5791,936,396573,9862.0,33
3212,KABUPATEN INDRAMAYU,2023,3440,1213,532545,96.0,46
3213,KABUPATEN SUBANG,2023,1667,952,404320,100.0,48
3214,KABUPATEN PURWAKARTA,2023,984,846,434187,6314.0,24
3215,KABUPATEN KARAWANG,2023,2696,787,555889,5981.0,35
3216,KABUPATEN BEKASI,2023,2997,493,632811,9228.0,49
3217,KABUPATEN BANDUNG BARAT,2023,4323,1052,426355,9282.0,38
3218,KABUPATEN PANGANDARAN,2023,425,898,447242,100.0,31
3271,KOTA BOGOR,2023,1369,667,661384,6745.0,45
3272,KOTA SUKABUMI,2023,614,75,644276,9553.0,12
3273,KOTA BANDUNG,2023,4706,396,591124,100.0,79
3274,KOTA CIREBON,2023,2043,916,520579,9918.0,33
3275,KOTA BEKASI,2023,2987,41,795965,9629.0,51
3276,KOTA DEPOK,2023,3283,238,804984,9909.0,50
3277,KOTA CIMAHI,2023,2890,466,590197,7496.0,26
3278,KOTA TASIKMALAYA,2023,3595,1153,537497,2966.0,34
3279,KOTA BANJAR,2023,776,614,408710,8695.0,17
3201,KABUPATEN BOGOR,2024,7722,705,513512,88.77,87
3202,KABUPATEN SUKABUMI,2024,17463,687,416751,100.0,30
3203,KABUPATEN CIANJUR,2024,4254,1014,466509,69.99,34
3204,KABUPATEN BANDUNG,2024,21362,619,455636,96.79,81
3205,KABUPATEN GARUT,2024,21806,968,393464,91.34,56
3206,KABUPATEN TASIKMALAYA,2024,9686,1023,400148,75.62,53
3207,KABUPATEN CIAMIS,2024,1689,739,467497,95.16,43
3208,KABUPATEN KUNINGAN,2024,4280,1188,420867,96.34,42
3209,KABUPATEN CIREBON,2024,8910,110,475046,96.24,87
3210,KABUPATEN MAJALENGKA,2024,2449,1082,547912,98.11,43
3211,KABUPATEN SUMEDANG,2024,5120,91,422714,98.99,43
3212,KABUPATEN INDRAMAYU,2024,2488,1193,560159,97.96,50
3213,KABUPATEN SUBANG,2024,1392,949,434161,100.0,45
3214,KABUPATEN PURWAKARTA,2024,1199,841,467948,95.78,24
3215,KABUPATEN KARAWANG,2024,3095,786,597345,77.53,37
3216,KABUPATEN BEKASI,2024,3948,48,674924,97.0,56
3217,KABUPATEN BANDUNG BARAT,2024,5827,1049,455325,94.91,39
3218,KABUPATEN PANGANDARAN,2024,464,875,470068,100.0,32
3271,KOTA BOGOR,2024,1588,653,699861,72.93,46
3272,KOTA SUKABUMI,2024,1183,72,678258,95.53,11
3273,KOTA BANDUNG,2024,8172,387,614707,69.46,86
3274,KOTA CIREBON,2024,2218,902,545592,95.38,36
3275,KOTA BEKASI,2024,3641,401,842927,99.62,55
3276,KOTA DEPOK,2024,3377,234,843893,99.46,50
3277,KOTA CIMAHI,2024,810,439,612567,78.58,24
3278,KOTA TASIKMALAYA,2024,7190,111,565377,34.56,34
3279,KOTA BANJAR,2024,715,585,430590,99.11,17
