persentase_penduduk_miskin,garis_kemiskinan,persentase_sanitasi_layak,jumlah_tenaga_gizi,Aktual,Prediksi,Residual
234,843893,99.46,50,3377,4972.43,-1595.43
701,392705,100.0,31,14671,9229.66,5441.34
238,804984,9909.0,50,3283,3992.45,-709.45
77,342094,9972.0,31,14347,6687.36,7659.64
87,403663,8669.0,25,1438,4285.52,-2847.52
1036,371699,832.0,50,11680,7207.51,4472.49
425,545675,100.0,84,6614,6542.12,71.88
511,511375,849.0,16,3708,2552.58,1155.42
802,594118,9548.0,25,806,2834.21,-2028.21
1082,547912,98.11,43,2449,4451.45,-2002.45
667,520742,152.0,20,2069,2131.05,-62.05
68,398884,100.0,85,21018,18950.86,2067.14
401,481732,88.0,25,7436,6521.63,914.37
1003,360691,100.0,69,2088,18597.14,-16509.14
439,484804,80.0,19,3269,3639.96,-370.96
691,367403,755.0,88,29581,19316.87,10264.13
110,475046,96.24,87,8910,8498.28,411.72
253,744771,9926.0,48,3637,4046.88,-409.88
932,411174,8273.0,33,519,3901.26,-3382.26
938,341307,74.0,34,9322,8084.47,1237.53
1003,467248,9749.0,23,2411,2894.88,-483.88
577,513343,74.0,48,3757,5827.28,-2070.28
812,339607,90.0,53,2476,8985.25,-6509.25
1006,445184,77.0,25,4642,6113.9,-1471.9
998,310437,311.0,46,13523,10473.96,3049.04
653,699861,72.93,46,1588,5621.67,-4033.67
1082,393956,9109.0,34,9304,6856.72,2447.28
1118,387631,9289.0,50,7768,6197.87,1570.13
1153,537497,2966.0,34,3595,5131.76,-1536.76
511,549450,8305.0,26,3036,4937.5,-1901.5
619,455636,96.79,81,21362,12110.76,9251.24
535,522281,8091.0,14,3161,2158.35,1002.65
797,389676,8551.0,67,3303,18550.04,-15247.04
